product,draw_id,draw_date,draw_status,result_json,attributes_json,official_pdf_urls_json,source_url,prize_status,validation_status,validation_warnings_json,fetched_at
lotto535,00001,2025-06-29,confirmed,"{""numbers"":[7,9,10,16,19],""special_numbers"":[9]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00001 ngày 29/06/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00001&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00002,2025-06-29,confirmed,"{""numbers"":[6,12,14,18,25],""special_numbers"":[8]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00002 ngày 29/06/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00002&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00003,2025-06-30,confirmed,"{""numbers"":[2,8,16,23,24],""special_numbers"":[9]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00003 ngày 30/06/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00003&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00004,2025-06-30,confirmed,"{""numbers"":[1,12,13,27,28],""special_numbers"":[7]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00004 ngày 30/06/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00004&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00005,2025-07-01,confirmed,"{""numbers"":[1,18,25,27,33],""special_numbers"":[5]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00005 ngày 01/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00005&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00006,2025-07-01,confirmed,"{""numbers"":[5,18,20,30,34],""special_numbers"":[7]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00006 ngày 01/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00006&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00007,2025-07-02,confirmed,"{""numbers"":[13,20,23,27,35],""special_numbers"":[1]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00007 ngày 02/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00007&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00008,2025-07-02,confirmed,"{""numbers"":[9,11,27,29,35],""special_numbers"":[9]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00008 ngày 02/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00008&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00009,2025-07-03,confirmed,"{""numbers"":[28,32,33,34,35],""special_numbers"":[8]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00009 ngày 03/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00009&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00010,2025-07-03,confirmed,"{""numbers"":[10,23,24,30,33],""special_numbers"":[6]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00010 ngày 03/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00010&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00011,2025-07-04,confirmed,"{""numbers"":[1,3,7,10,24],""special_numbers"":[8]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00011 ngày 04/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00011&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00012,2025-07-04,confirmed,"{""numbers"":[3,18,20,29,34],""special_numbers"":[3]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00012 ngày 04/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:23+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00012&nocatche=1,complete,valid,[],2026-06-13T19:20:23+00:00
lotto535,00013,2025-07-05,confirmed,"{""numbers"":[5,14,15,23,34],""special_numbers"":[5]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00013 ngày 05/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00013&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00014,2025-07-05,confirmed,"{""numbers"":[3,13,19,25,29],""special_numbers"":[7]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00014 ngày 05/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00014&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00015,2025-07-06,confirmed,"{""numbers"":[3,11,12,27,32],""special_numbers"":[10]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00015 ngày 06/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00015&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00016,2025-07-06,confirmed,"{""numbers"":[6,7,13,28,29],""special_numbers"":[7]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00016 ngày 06/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00016&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00017,2025-07-07,confirmed,"{""numbers"":[1,8,14,19,23],""special_numbers"":[6]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00017 ngày 07/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00017&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00018,2025-07-07,confirmed,"{""numbers"":[6,7,10,22,34],""special_numbers"":[8]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00018 ngày 07/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00018&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00019,2025-07-08,confirmed,"{""numbers"":[14,15,17,28,31],""special_numbers"":[8]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00019 ngày 08/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00019&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00020,2025-07-08,confirmed,"{""numbers"":[2,6,20,26,32],""special_numbers"":[12]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00020 ngày 08/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00020&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00021,2025-07-09,confirmed,"{""numbers"":[1,2,12,25,31],""special_numbers"":[12]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00021 ngày 09/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00021&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
lotto535,00022,2025-07-09,confirmed,"{""numbers"":[2,7,9,28,31],""special_numbers"":[12]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00022 ngày 09/07/2025"",""official_list_verified_at"":""2026-06-13T19:20:22+00:00""}",[],https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00022&nocatche=1,complete,valid,[],2026-06-13T19:20:22+00:00
